period,xDomainNumb,label,labelShort,labelVeryShort
2015-01-01/P3Y,2015,2015-17,15-17,17
2015-02-01/P1M,2015.08,Feb 2015,Feb 15,15
2015-02-01/P1Y,2015,2015-16,15-16,16
2015-03-01/P1M,2015.17,Mar 2015,Mar 15,15
2015-04-01/P1M,2015.25,Apr 2015,Apr 15,15
2015-04-01/P1Y,2015,2015-16,15-16,16
2015-04-01/P3Y,2015,2015-18,15-18,18
2015-04-22,2015,2015,2015,15
2015-05-01/P1M,2015.33,May 2015,May 15,15
2015-05-15/P1Y,2015,2015-16,15-16,16
2015-06-01/P1M,2015.42,Jun 2015,Jun 15,15
2015-06-30,2015,2015,2015,15
2015-06-30/P5Y,2015,2015-20,15-20,20
2015-07-01/P1M,2015.5,Jul 2015,Jul 15,15
2015-08-01/P1M,2015.58,Aug 2015,Aug 15,15
2015-08-01/P1Y,2015,2015-16,15-16,16
2015-09-01/P1M,2015.67,Sep 2015,Sep 15,15
2015-10-01/P1M,2015.75,Oct 2015,Oct 15,15
2015-11-01/P1M,2015.83,Nov 2015,Nov 15,15
2015-11-16/P1Y,2015,2015-16,15-16,16
2015-12-01/P1M,2015.92,Dec 2015,Dec 15,15
2016,2016,2016,2016,16
2016-01-01/P1M,2016,Jan 2016,Jan 16,16
2016-01-01/P1Y,2016,2016,2016,16
2016-01-01/P3Y,2016,2016-18,16-18,18
2016-02-01/P1M,2016.08,Feb 2016,Feb 16,16
2016-02-01/P1Y,2016,2016-17,16-17,17
2016-03-01/P1M,2016.17,Mar 2016,Mar 16,16
2016-04-01/P1M,2016.25,Apr 2016,Apr 16,16
2016-04-01/P1Y,2016,2016-17,16-17,17
2016-04-01/P3Y,2016,2016-19,16-19,19
2016-04-13,2016,2016,2016,16
2016-05-01/P1M,2016.33,May 2016,May 16,16
2016-05-15/P1Y,2016,2016-17,16-17,17
2016-06-01/P1M,2016.42,Jun 2016,Jun 16,16
2016-06-30,2016,2016,2016,16
2016-06-30/P5Y,2016,2016-21,16-21,21
2016-07-01/P1M,2016.5,Jul 2016,Jul 16,16
2016-08-01/P1M,2016.58,Aug 2016,Aug 16,16
2016-08-01/P1Y,2016,2016-17,16-17,17
2016-09-01/P1M,2016.67,Sep 2016,Sep 16,16
2016-09-01/P1Y,2016,2016-17,16-17,17
2016-10-01/P1M,2016.75,Oct 2016,Oct 16,16
2016-11-01/P1M,2016.83,Nov 2016,Nov 16,16
2016-11-16/P1Y,2016,2016-17,16-17,17
2016-12-01/P1M,2016.92,Dec 2016,Dec 16,16
2017,2017,2017,2017,17
2017-01-01/P1M,2017,Jan 2017,Jan 17,17
2017-01-01/P1Y,2017,2017,2017,17
2017-01-01/P3Y,2017,2017-19,17-19,19
2017-02-01/P1M,2017.08,Feb 2017,Feb 17,17
2017-02-01/P1Y,2017,2017-18,17-18,18
2017-03-01/P1M,2017.17,Mar 2017,Mar 17,17
2017-04-01/P1M,2017.25,Apr 2017,Apr 17,17
2017-04-01/P1Y,2017,2017-18,17-18,18
2017-04-01/P3Y,2017,2017-20,17-20,20
2017-04-26,2017,2017,2017,17
2017-05-01/P1M,2017.33,May 2017,May 17,17
2017-05-15/P1Y,2017,2017-18,17-18,18
2017-06-01/P1M,2017.42,Jun 2017,Jun 17,17
2017-06-30,2017,2017,2017,17
2017-06-30/P5Y,2017,2017-22,17-22,22
2017-07-01/P1M,2017.5,Jul 2017,Jul 17,17
2017-08-01/P1M,2017.58,Aug 2017,Aug 17,17
2017-08-01/P1Y,2017,2017-18,17-18,18
2017-09-01/P1M,2017.67,Sep 2017,Sep 17,17
2017-09-01/P1Y,2017,2017-18,17-18,18
2017-10-01/P1M,2017.75,Oct 2017,Oct 17,17
2017-11-01/P1M,2017.83,Nov 2017,Nov 17,17
2017-11-16/P1Y,2017,2017-18,17-18,18
2017-12-01/P1M,2017.92,Dec 2017,Dec 17,17
2018,2018,2018,2018,18
2018-01-01/P1M,2018,Jan 2018,Jan 18,18
2018-01-01/P1Y,2018,2018,2018,18
2018-01-01/P3Y,2018,2018-20,18-20,20
2018-02-01/P1M,2018.08,Feb 2018,Feb 18,18
2018-02-01/P1Y,2018,2018-19,18-19,19
2018-03-01/P1M,2018.17,Mar 2018,Mar 18,18
2018-04-01/P1M,2018.25,Apr 2018,Apr 18,18
2018-04-01/P1Y,2018,2018-19,18-19,19
2018-04-01/P3Y,2018,2018-21,18-21,21
2018-04-18,2018,2018,2018,18
2018-05-01/P1M,2018.33,May 2018,May 18,18
2018-05-15/P1Y,2018,2018-19,18-19,19
2018-06-01/P1M,2018.42,Jun 2018,Jun 18,18
2018-06-30,2018,2018,2018,18
2018-06-30/P5Y,2018,2018-23,18-23,23
2018-07-01/P1M,2018.5,Jul 2018,Jul 18,18
2018-08-01/P1M,2018.58,Aug 2018,Aug 18,18
2018-08-01/P1Y,2018,2018-19,18-19,19
2018-09-01/P1M,2018.67,Sep 2018,Sep 18,18
2018-09-01/P1Y,2018,2018-19,18-19,19
2018-10-01/P1M,2018.75,Oct 2018,Oct 18,18
2018-11-01/P1M,2018.83,Nov 2018,Nov 18,18
2018-11-16/P1Y,2018,2018-19,18-19,19
2018-12-01/P1M,2018.92,Dec 2018,Dec 18,18
2019,2019,2019,2019,19
2019-01-01/P1M,2019,Jan 2019,Jan 19,19
2019-01-01/P1Y,2019,2019,2019,19
2019-01-01/P3Y,2019,2019-21,19-21,21
2019-01-01/P5Y,2019,2019-23,19-23,23
2019-02-01/P1M,2019.08,Feb 2019,Feb 19,19
2019-02-01/P1Y,2019,2019-20,19-20,20
2019-03-01/P1M,2019.17,Mar 2019,Mar 19,19
2019-04-01/P1M,2019.25,Apr 2019,Apr 19,19
2019-04-01/P1Y,2019,2019-20,19-20,20
2019-04-01/P3Y,2019,2019-22,19-22,22
2019-04-10,2019,2019,2019,19
